iso3c,country,year,indicator,value,indicator_label
BEN,Benin,2000,gdp_pc_current_usd,487.4241414,GDP per capita (current US$)
BEN,Benin,2000,gdp_pc_const2015_usd,861.213292,GDP per capita (constant 2015 US$)
BEN,Benin,2000,gdp_growth_pct,5.857714205,GDP growth (annual %)
BEN,Benin,2000,gni_pc_atlas_usd,450,"GNI per capita, Atlas method (current US$)"
BEN,Benin,2000,inflation_cpi_pct,NA,"Inflation, consumer prices (annual %)"
BEN,Benin,2000,gcf_pct_gdp,18.72600357,Gross capital formation (% of GDP)
BEN,Benin,2000,fdi_net_inflows_pct,-0.363490759,FDI net inflows (% of GDP)
BEN,Benin,2000,trade_pct_gdp,47.3481515,Trade (% of GDP)
BEN,Benin,2001,gdp_pc_current_usd,492.4014995,GDP per capita (current US$)
BEN,Benin,2001,gdp_pc_const2015_usd,879.8544638,GDP per capita (constant 2015 US$)
BEN,Benin,2001,gdp_growth_pct,5.333135706,GDP growth (annual %)
BEN,Benin,2001,gni_pc_atlas_usd,510,"GNI per capita, Atlas method (current US$)"
BEN,Benin,2001,inflation_cpi_pct,NA,"Inflation, consumer prices (annual %)"
BEN,Benin,2001,gcf_pct_gdp,19.06306631,Gross capital formation (% of GDP)
BEN,Benin,2001,fdi_net_inflows_pct,0.456588184,FDI net inflows (% of GDP)
BEN,Benin,2001,trade_pct_gdp,48.25717064,Trade (% of GDP)
BEN,Benin,2002,gdp_pc_current_usd,546.4638297,GDP per capita (current US$)
BEN,Benin,2002,gdp_pc_const2015_usd,893.137101,GDP per capita (constant 2015 US$)
BEN,Benin,2002,gdp_growth_pct,4.643030871,GDP growth (annual %)
BEN,Benin,2002,gni_pc_atlas_usd,510,"GNI per capita, Atlas method (current US$)"
BEN,Benin,2002,inflation_cpi_pct,NA,"Inflation, consumer prices (annual %)"
BEN,Benin,2002,gcf_pct_gdp,16.91268416,Gross capital formation (% of GDP)
BEN,Benin,2002,fdi_net_inflows_pct,-0.462423415,FDI net inflows (% of GDP)
BEN,Benin,2002,trade_pct_gdp,43.76842254,Trade (% of GDP)
BEN,Benin,2003,gdp_pc_current_usd,676.0028781,GDP per capita (current US$)
BEN,Benin,2003,gdp_pc_const2015_usd,896.1467632,GDP per capita (constant 2015 US$)
BEN,Benin,2003,gdp_growth_pct,3.443576776,GDP growth (annual %)
BEN,Benin,2003,gni_pc_atlas_usd,570,"GNI per capita, Atlas method (current US$)"
BEN,Benin,2003,inflation_cpi_pct,NA,"Inflation, consumer prices (annual %)"
BEN,Benin,2003,gcf_pct_gdp,17.5433639,Gross capital formation (% of GDP)
BEN,Benin,2003,fdi_net_inflows_pct,0.198870349,FDI net inflows (% of GDP)
BEN,Benin,2003,trade_pct_gdp,41.61623056,Trade (% of GDP)
BEN,Benin,2004,gdp_pc_current_usd,758.6958038,GDP per capita (current US$)
BEN,Benin,2004,gdp_pc_const2015_usd,907.6244312,GDP per capita (constant 2015 US$)
BEN,Benin,2004,gdp_growth_pct,4.429684554,GDP growth (annual %)
BEN,Benin,2004,gni_pc_atlas_usd,690,"GNI per capita, Atlas method (current US$)"
BEN,Benin,2004,inflation_cpi_pct,NA,"Inflation, consumer prices (annual %)"
BEN,Benin,2004,gcf_pct_gdp,16.08666085,Gross capital formation (% of GDP)
BEN,Benin,2004,fdi_net_inflows_pct,-0.658688596,FDI net inflows (% of GDP)
BEN,Benin,2004,trade_pct_gdp,39.90297434,Trade (% of GDP)
BEN,Benin,2005,gdp_pc_current_usd,779.4377778,GDP per capita (current US$)
BEN,Benin,2005,gdp_pc_const2015_usd,893.9153687,GDP per capita (constant 2015 US$)
BEN,Benin,2005,gdp_growth_pct,1.713164564,GDP growth (annual %)
BEN,Benin,2005,gni_pc_atlas_usd,780,"GNI per capita, Atlas method (current US$)"
BEN,Benin,2005,inflation_cpi_pct,NA,"Inflation, consumer prices (annual %)"
