id,Latitude,Longitude,BCM,Avg_Temp_K,Ellipticity,Detection_frequency,Clear_obs,Type,Year
7351,3.465556,5.561424,0.468418109,1593.58,,0.991597,119,flare,2017
7434,4.017314,7.492048,0.249847746,1554.22,,0.923077,91,flare,2017
7440,4.30439,7.659828,0.24695765,1641.25,,0.891304,92,flare,2017
7452,4.145989,7.972265,0.240333852,1648.05,,1,92,flare,2017
7228,5.359015,4.342074,0.239740921,1634.05,,0.92562,121,flare,2017
7302,5.715931,6.486049,0.22843033,1708.9,,1,114,flare,2017
7432,3.575664,7.393632,0.211853516,1649.14,,1,103,flare,2017
7464,4.289059,8.166947,0.183557224,1614.1,,1,90,flare,2017
7429,3.989437,7.289822,0.179101145,1628.49,,1,110,flare,2017
7472,4.3165,8.367373,0.158603358,1729.12,,1,85,flare,2017
7229,5.708575,4.480999,0.154081529,1658.42,,1,118,flare,2017
7361,4.628654,6.263662,0.153934177,1676.59,,0.978571,140,flare,2017
7306,5.659756,6.516747,0.150652805,1656.67,,0.982759,116,flare,2017
7313,5.386449,6.657321,0.150542438,1652.57,,0.983607,122,flare,2017
7298,5.684978,6.359498,0.138446066,1630.47,,0.981481,108,flare,2017
7309,5.249976,6.600163,0.13428704,1687.55,,1,123,flare,2017
7456,4.552314,8.010538,0.130437981,1759.7,,0.950413,121,flare,2017
7349,4.554563,4.61581,0.125596203,1652.44,,0.908333,120,flare,2017
7359,4.33795,5.925732,0.123254715,1544.52,,0.835821,134,flare,2017
7278,6.013361,5.865319,0.120116879,1679.43,,0.983193,119,flare,2017
7237,5.559601,5.072554,0.115523428,1661.84,,0.991453,117,flare,2017
7305,5.099824,6.506783,0.098054284,1753.55,,0.954198,131,flare,2017
7402,4.5564,7.004156,0.094010027,1618.18,,0.774194,124,flare,2017
7354,4.851267,5.691978,0.091331272,1642.17,,0.789116,147,flare,2017
7280,5.434072,5.884495,0.08975619,1612.57,,0.983607,122,flare,2017
7293,5.881633,6.21788,0.086035111,1742.57,,0.974359,117,flare,2017
7295,5.018519,6.300249,0.085164207,1749.2,,0.877863,131,flare,2017
7406,4.653105,7.059494,0.077948653,1606.63,,0.87619,105,flare,2017
7448,4.403874,7.828436,0.077089784,1604.86,,0.923077,104,flare,2017
7401,3.854888,6.980304,0.070830257,1633.68,,0.920792,101,flare,2017
7400,4.559314,6.975436,0.068387206,1576.43,,0.75,116,flare,2017
7267,5.900427,5.582558,0.065440165,1689.67,,0.858268,127,flare,2017
7315,5.634508,6.669287,0.064526406,1632.83,,0.936508,126,flare,2017
7405,4.552423,7.044982,0.063700413,1600.14,,0.756098,123,flare,2017
7233,5.776598,4.889249,0.061796871,1585.06,,0.286885,122,flare,2017
7435,4.135576,7.515726,0.061477217,1510.38,,0.99,100,flare,2017
7384,3.142146,6.823119,0.06131284,1470.62,,0.966387,119,flare,2017
7268,6.062914,5.586881,0.059951448,1733.48,,0.606557,122,flare,2017
7455,4.365157,7.998021,0.058861277,1698.43,,0.895349,86,flare,2017
7373,4.526623,6.632393,0.058825173,1607.58,,0.715447,123,flare,2017
7230,5.386644,4.589998,0.057946051,1669.51,,0.968504,127,flare,2017
7357,4.32657,5.821535,0.057354588,1588.19,,0.925926,135,flare,2017
7322,5.619353,6.81484,0.055190978,1712.49,,0.875,120,flare,2017
7350,4.802638,5.311551,0.05445774,1692.33,,0.576271,118,flare,2017
7260,5.783928,5.428429,0.053521967,1712.47,,0.913669,139,flare,2017
7364,4.433334,6.325046,0.049412547,1674.72,,0.713235,136,flare,2017
7246,5.61565,5.201781,0.047952822,1566,,0.733871,124,flare,2017
7263,5.52322,5.469312,0.047494328,1682.07,,0.330709,127,flare,2017
7447,4.242794,7.794592,0.046957168,1609.89,,0.287356,87,flare,2017
7301,5.715111,6.421534,0.04665131,1620.34,,0.926829,123,flare,2017
7383,4.529664,6.818566,0.046607868,1615.64,,0.651786,112,flare,2017
7239,5.600489,5.10901,0.045362713,1577.59,,0.930435,115,flare,2017
7365,4.441232,6.361301,0.044376746,1650.31,,0.647887,142,flare,2017
7284,5.515931,5.937922,0.044240255,1517.34,,0.909836,122,flare,2017
7235,5.950831,5.050792,0.043218183,1555.18,,0.543478,138,flare,2017
7363,4.453436,6.325696,0.042552457,1594.7,,0.713235,136,flare,2017
7378,4.560747,6.710153,0.042468507,1596.69,,0.710744,121,flare,2017
7358,4.556198,5.921226,0.041744369,1603.73,,0.821918,146,flare,2017
7310,5.771656,6.626812,0.041073359,1759.68,,0.81746,126,flare,2017
7371,4.655727,6.614827,0.039822335,1643.68,,0.868421,114,flare,2017
7257,5.687789,5.377614,0.037857445,1618.33,,0.689394,132,flare,2017
7279,5.448033,5.879232,0.035844122,1584.96,,0.92029,138,flare,2017
7307,5.722176,6.517175,0.03470552,1693.77,,0.470085,117,flare,2017
7367,3.940516,6.397636,0.034154564,1612.88,,0.951923,104,flare,2017
7254,6.153411,5.342829,0.033700766,1811.77,,0.792857,140,flare,2017
7382,4.625983,6.814723,0.033510265,1775.65,,0.681034,116,flare,2017
7231,5.726996,4.831404,0.03294933,1636.75,,0.902439,123,flare,2017
7312,5.238139,6.627007,0.032077252,1701.8,,0.832061,131,flare,2017
7471,4.271709,8.337876,0.031838319,1651.92,,0.730769,78,flare,2017
7262,5.528573,5.46558,0.031494301,1685.01,,0.333333,129,flare,2017
7308,5.687372,6.591955,0.03000493,1790.61,,0.710526,114,flare,2017
7241,5.436412,5.140323,0.028664114,1630.27,,0.759259,108,flare,2017
7467,4.581628,8.1907,0.0282011,1636.78,,0.714286,112,flare,2017
7369,4.5399,6.503406,0.028120732,1650.97,,0.435714,140,flare,2017
7300,5.666182,6.394288,0.025975556,1579.54,,0.714286,126,flare,2017
7376,4.549595,6.665867,0.025655432,1652.95,,0.68254,126,flare,2017
7366,4.885795,6.372529,0.025223591,1746.47,,0.63522,159,flare,2017
7243,5.536261,5.194762,0.024015362,1694.75,,0.518797,133,flare,2017
7465,4.10155,8.171443,0.024010813,1582.3,,0.69863,73,flare,2017
7442,4.035256,7.686033,0.023136504,1744.92,,0.793478,92,flare,2017
7445,3.953825,7.774937,0.022600871,1731.43,,0.835443,79,flare,2017
7227,6.162866,2.931157,0.022285297,1731.64,,0.731884,138,flare,2017
7236,5.574415,5.058646,0.020518745,1637.72,,0.796117,103,flare,2017
7399,4.933488,6.976393,0.020125033,1569.63,,0.461538,130,flare,2017
7316,5.544576,6.683584,0.01961705,1624.42,,0.444444,144,flare,2017
7360,4.813842,5.961713,0.019174201,1693.72,,0.435897,156,flare,2017
7444,3.955408,7.758341,0.018047046,1741.34,,0.905882,85,flare,2017
7318,5.661347,6.70616,0.017187062,1641.9,,0.503597,139,flare,2017
7238,5.53773,5.091626,0.016706788,1587.47,,0.72381,105,flare,2017
7240,5.860624,5.133168,0.016329338,1712.2,,0.397351,151,flare,2017
