UID,organisationunitname,lga,ward,year,ANC1,ANCA,IPT1,IPT3,IPT1_per_ANC1,IPT3_per_ANC1,IPT3_per_IPT1,ANC1_per_Preg,IPT3_per_Preg,LLIN_per_Preg
19855890,NA,Biase,Biakpan,2022,36,96,27,1,0.75,0.027777777777777776,0.037037037037037035,NA,NA,NA
44843057,NA,Biase,Umon South,2022,25,156,34,45,1.36,1.8,1.3235294117647058,NA,NA,NA
23154483,NA,Biase,Ehom,2022,90,141,57,6,0.6333333333333333,0.06666666666666667,0.10526315789473684,NA,NA,NA
65168434,NA,Yakurr,Epenti,2022,33,133,30,27,0.9090909090909091,0.8181818181818182,0.9,NA,NA,NA
44092676,NA,Odukpani,Eniong,2022,36,80,36,12,1,0.3333333333333333,0.3333333333333333,NA,NA,NA
18910733,NA,Odukpani,Eki,2022,81,105,57,0,0.7037037037037037,0,0,NA,NA,NA
77745065,NA,Odukpani,Eki,2022,150,282,136,11,0.9066666666666666,0.07333333333333333,0.08088235294117647,NA,NA,NA
40555040,NA,Odukpani,Eniong,2022,46,85,44,8,0.9565217391304348,0.17391304347826086,0.18181818181818182,NA,NA,NA
49033920,NA,Odukpani,Eki,2022,2,6,3,0,1.5,0,0,NA,NA,NA
44439684,NA,Odukpani,Obom-Itiat/Mbiabo/Ediong,2022,0,0,0,0,NA,NA,NA,NA,NA,NA
50738137,NA,Odukpani,Obom-Itiat/Mbiabo/Ediong,2022,0,0,0,0,NA,NA,NA,NA,NA,NA
78127744,NA,Odukpani,Obom-Itiat/Mbiabo/Ediong,2022,9,9,9,0,1,0,0,NA,NA,NA
74117115,NA,Odukpani,Eniong,2022,72,97,49,6,0.6805555555555556,0.08333333333333333,0.12244897959183673,NA,NA,NA
79871378,NA,Odukpani,Ito-Idere-Ukwa,2022,19,24,10,2,0.5263157894736842,0.10526315789473684,0.2,NA,NA,NA
