 State ,Feb24_F,Feb24_A,Mar24_F,Mar24_A,Apr24_F,Apr24_A,May24_F,May24_A,Jun24_F,Jun24_A,Jul24_F,Jul24_A,Aug24_F,Aug24_A,Sep24_F,Sep24_A,Oct24_F,Oct24_A,Nov24_F,Nov24_A,Jan25_F,Jan25_A,Feb25_F,Feb25_A,Mar25_F,Mar25_A,Apr25_F,Apr25_A,May25_F,May25_A,Jun25_F,Jun25_A,Jul25_F,Jul25_A,Aug25_F,Aug25_A,Sep25_F,Sep25_A,Oct25_F,Oct25_A,Nov25_F,Nov25_A
Abia,89.3,90.7,94,94.2,96.1,96.4,97.7,97.9,100.7,100.7,104.4,104,106.5,105.9,109.7,108.9,113.7,112,118.1,115.7,115.2,115.4,117.9,117.2,116.1,117.9,114,120.8,121.3,119.9,126.5,125.5,125.2,126.6,133.9,129.2,126.5,130.5,127.3,130.5,129.5,131.7
Abuja,89.8,91.7,93.5,94.6,95.4,96,97.9,97.2,101.6,100.6,104.3,104.5,106.9,105.5,109.6,107.4,112.2,111,117.6,116.1,106.7,107,110.8,109.9,117.5,116.1,116.6,127.5,124,127.5,124.2,127.5,127.3,129.8,132,131,121.6,126.8,127.9,128,129.9,130.5
Adamawa,92.4,93,94.4,94.7,95.3,95.9,96.3,98,100.9,100.8,101.7,101.8,107.2,105.8,108.9,108.4,114.5,112.3,115.5,113.4,103.5,106.2,103.7,108.3,106.1,112,104.4,115.9,108.8,115.9,111.9,117.9,111.7,118.4,120,124,128.7,134.1,127.1,130,128.2,129.1
Akwa Ibom,91.9,92.3,96.2,95.6,98.4,97.8,99.7,99.2,101,100.8,103.6,103.1,104.1,104.3,107.9,107.6,109.9,109.9,113.1,112.9,106.9,107.1,107.4,106.6,108.3,107.8,114.6,114.7,120.4,118.1,123.3,123.2,125.3,125.5,135.1,125.9,117.6,125.1,114.3,123.9,118.2,126.9
Anambra,89.9,90.6,93.1,93.5,95,95.5,97.4,98.3,100.8,100.6,103.8,103.3,107.1,106,110.3,110,113.6,112.9,118.2,116.5,110.7,110,111.7,111.6,112.4,116,109.4,116.6,119.4,118.7,125.8,123.8,126.6,124.3,132.2,121.1,119.6,120.2,124.9,126.1,127,130.7
Bauchi,90.6,89,93.5,92,95.5,94.7,98.3,98.2,100.6,101.5,103.3,104.1,106,108.5,110,110.9,112.9,115.1,116.5,117.4,112.8,110.1,110.4,108.1,109.8,110.6,112.5,116,119.5,121.6,122,123.5,119.3,123.8,118.5,125.1,113.1,124.6,120.8,126.6,125.9,130.2
Bayelsa,90,91,94.3,94.3,96.8,97,100.3,100.4,102.1,101.9,103.7,103.6,105,104.9,109.7,108,111.3,110.2,113.7,113,109.5,107,104.6,108,103.3,107.5,115.8,120.6,140.3,124.4,131.4,123.5,131.6,124.6,119.1,129.9,133.7,124,131.5,123.7,129.3,131.9
Benue,91.4,92.9,94.7,95.4,96.6,96.8,98.8,98.8,100.8,100.5,103.2,102.1,104.8,104.1,109,106.7,111.7,109.8,114.1,113,102.5,104.9,111.5,113.7,116.8,115.3,146.7,130.1,120.5,124.4,124.8,126.5,127.4,128.3,131.2,128.8,118.4,127.1,123.6,128.5,129.1,131.4
Borno,91.3,92.8,92.8,94.1,94.4,95.5,96.4,97.8,99.2,99.5,104.3,103.3,108.3,106.2,110.7,108.6,115.2,111.6,116.1,113.4,110.5,112.5,111.5,111.2,112.3,114.7,114.7,119.4,158.4,135.8,146.3,131,162.2,139,148,134.1,128.9,129.9,128.6,130.5,131.2,130.5
Cross River,88.9,91,93.4,94,97,96.9,100.1,98.8,103.3,101.8,104.7,103.6,107.2,106,108.6,107.9,112.2,111.3,113.7,113.3,110.4,110,111.5,111.8,108.6,109.2,111,113.5,127.5,124.5,129.8,124.8,131.5,126.1,137.8,127.1,123.5,127.1,126.3,127,130.1,130.6
Delta,91.8,92.9,95.4,95.7,97.4,97.5,98.6,98.8,101.6,101.1,103.4,102.6,105.8,104.6,108,106.8,110.5,109.5,113.4,111.3,112.2,111,110,113.2,110.4,116.3,112.9,128.7,116.2,117,125.3,123,128,125.3,134.2,124.9,127.3,126.5,129,129.5,129.4,126.4
Ebonyi,91.7,92.5,95,95.2,96.5,96.1,98.4,98.6,101.6,101.2,103.1,103.2,105.5,104.9,108.6,107.6,111.7,109.8,115.8,114.9,116.9,116.1,117.5,115.7,120.9,121.1,103.5,119.5,124,122.5,132.7,125.4,133.1,127.5,122.2,127.1,126.4,123.5,127.2,128.2,130.2,129.8
Edo,89,90.7,92.9,93.6,96.7,96.7,98.6,99.1,102.6,101.6,104,103.4,106.3,105.5,109.4,108.8,113.5,111.4,119,115.2,109,111.3,120.3,121.2,113.3,120.1,114.2,118.5,117.7,124.9,126.8,122.4,131.6,125.4,132.4,128.6,126.7,130.8,126.2,125.6,129.4,131.2
Ekiti,90.9,91.8,93.6,94.3,96.7,97,99.7,99.4,102.4,101.6,103.6,103.1,106.2,105.3,108.6,107.6,111.2,110.4,114.3,113,108.9,110,114.3,114.7,111.1,117.1,129.7,130,123.5,118.8,128,125.2,133,127.2,124,135,139.8,129.9,133.1,132.7,130.7,132
Enugu,90.4,91.8,93.8,94.3,95.4,96.2,98.6,98,100.9,100.2,105.1,104,107.1,105.6,109.9,108.3,111.7,110.4,116,114.2,114.4,114.7,119,120,114.3,116.4,118.8,130.8,112.5,121.1,125.9,125.9,129.4,127.3,135.9,120.6,131.2,121.7,132.4,127.5,129.1,132.2
Gombe,89.2,90.8,92.1,93.3,94.4,95.1,99,98.9,100.7,100.5,103.4,103.1,107.4,106.3,111.8,110.2,114.5,112.4,119,116.1,110,109,114.6,114.8,112.8,114.2,119.3,124.5,116.8,117.8,123,119.4,124.3,121,119.3,128.5,124.9,128.7,124.6,125.6,129.6,132
Imo,91.6,92.4,94,94.7,96.4,96.4,99.1,98.5,100.8,100.2,103.3,102.8,106.3,105.1,109,108.1,111.9,110.8,114.9,112.7,116.8,117.8,118.1,120.2,117.8,121.9,110.8,117.7,119.2,118.6,128,124.6,129.7,126.6,132.1,124.3,122.6,125.1,127.2,128.7,118.9,128.6
Jigawa,90.5,91.1,93.6,93.9,96.9,96.8,99.3,99.1,101.4,101.4,105.2,104.8,107.6,106.6,109.2,108.7,113.2,111.8,115,114,110.8,111.2,113.4,112.3,119.7,122.1,118.9,122.4,124.5,124.3,117.1,121.2,125,125.2,132.6,131.3,122.4,126.4,125.1,128.7,129,132.3
Kaduna,89.5,90.7,92.7,93.3,95.4,95.8,98.8,98.3,100.9,100.5,103.9,103.6,107.6,106.6,109.5,108.9,113.6,112.2,116.9,115.5,113.8,114.8,103.7,104.7,121.6,124.4,126.8,121.4,114.9,122,118.5,123.8,126.8,128.1,138.7,131.1,129.8,131.3,125.4,131.9,131,128.9
Kano,90.7,91.5,93.7,94.3,94.1,94.6,98.5,98.6,99.5,99.9,102.3,102.2,105.2,104.8,109.6,108.6,114.1,112.7,120.9,118.2,112.3,112.5,110.3,108.4,122.4,121.6,108.5,119.9,116.7,121.5,117.6,122.6,130.3,127.9,137.2,133.3,127.8,129.5,130.5,132.2,129.9,131
Katsina,91,92.7,94.5,95.3,96.9,97.3,98,98.6,100.8,100.7,103.1,102.6,105.9,104.8,108.5,106.9,112.9,109.8,120.9,118.2,113.6,116,114,115,111.2,118,118.2,114.4,104.8,114.6,107.1,118.3,110,118.7,119.9,128.9,127.4,132,117.6,127.7,125.4,130.7
