LGA,Severe Malaria cases seen January 2014,Severe Malaria cases seen February 2014,Severe Malaria cases seen March 2014,Severe Malaria cases seen April 2014,Severe Malaria cases seen May 2014,Severe Malaria cases seen June 2014,Severe Malaria cases seen July 2014,Severe Malaria cases seen August 2014,Severe Malaria cases seen September 2014,Severe Malaria cases seen October 2014,Severe Malaria cases seen November 2014,Severe Malaria cases seen December 2014,Severe Malaria cases seen January 2015,Severe Malaria cases seen February 2015,Severe Malaria cases seen March 2015,Severe Malaria cases seen April 2015,Severe Malaria cases seen May 2015,Severe Malaria cases seen June 2015,Severe Malaria cases seen July 2015,Severe Malaria cases seen August 2015,Severe Malaria cases seen September 2015,Severe Malaria cases seen October 2015,Severe Malaria cases seen November 2015,Severe Malaria cases seen December 2015,Severe Malaria cases seen January 2016,Severe Malaria cases seen February 2016,Severe Malaria cases seen March 2016,Severe Malaria cases seen April 2016,Severe Malaria cases seen May 2016,Severe Malaria cases seen June 2016,Severe Malaria cases seen July 2016,Severe Malaria cases seen August 2016,Severe Malaria cases seen September 2016,Severe Malaria cases seen October 2016,Severe Malaria cases seen November 2016,Severe Malaria cases seen December 2016,Severe Malaria cases seen January 2017,Severe Malaria cases seen February 2017,Severe Malaria cases seen March 2017,Severe Malaria cases seen April 2017,Severe Malaria cases seen May 2017,Severe Malaria cases seen June 2017,Severe Malaria cases seen July 2017,Severe Malaria cases seen August 2017,Severe Malaria cases seen September 2017,Severe Malaria cases seen October 2017,Severe Malaria cases seen November 2017,Severe Malaria cases seen December 2017,Severe Malaria cases seen January 2018,Severe Malaria cases seen February 2018,Severe Malaria cases seen March 2018,Severe Malaria cases seen April 2018,Severe Malaria cases seen May 2018,Severe Malaria cases seen June 2018,Severe Malaria cases seen July 2018,Severe Malaria cases seen August 2018,Severe Malaria cases seen September 2018,Severe Malaria cases seen October 2018,Severe Malaria cases seen November 2018,Severe Malaria cases seen December 2018,Severe Malaria cases seen January 2019,Severe Malaria cases seen February 2019,Severe Malaria cases seen March 2019,Severe Malaria cases seen April 2019,Severe Malaria cases seen May 2019,Severe Malaria cases seen June 2019,Severe Malaria cases seen July 2019,Severe Malaria cases seen August 2019,Severe Malaria cases seen September 2019,Severe Malaria cases seen October 2019,Severe Malaria cases seen November 2019,Severe Malaria cases seen December 2019,Severe Malaria cases seen January 2020,Severe Malaria cases seen February 2020,Severe Malaria cases seen March 2020,Severe Malaria cases seen April 2020,Severe Malaria cases seen May 2020,Severe Malaria cases seen June 2020,Severe Malaria cases seen July 2020,Severe Malaria cases seen August 2020,Severe Malaria cases seen September 2020,Severe Malaria cases seen October 2020,Severe Malaria cases seen November 2020,Severe Malaria cases seen December 2020,Severe Malaria cases seen January 2021,Severe Malaria cases seen February 2021,Severe Malaria cases seen March 2021,Severe Malaria cases seen April 2021,Severe Malaria cases seen May 2021,Severe Malaria cases seen June 2021,Severe Malaria cases seen July 2021,Severe Malaria cases seen August 2021,Severe Malaria cases seen September 2021,Severe Malaria cases seen October 2021,Severe Malaria cases seen November 2021,Severe Malaria cases seen December 2021,Severe Malaria cases seen January 2022,Severe Malaria cases seen February 2022,Severe Malaria cases seen March 2022,Severe Malaria cases seen April 2022,Severe Malaria cases seen May 2022,Severe Malaria cases seen June 2022,Severe Malaria cases seen July 2022,Severe Malaria cases seen August 2022,Severe Malaria cases seen September 2022,Severe Malaria cases seen October 2022,Severe Malaria cases seen November 2022,Severe Malaria cases seen December 2022,Severe Malaria cases seen January 2023,Severe Malaria cases seen February 2023,Severe Malaria cases seen March 2023,Severe Malaria cases seen April 2023,Severe Malaria cases seen May 2023,Severe Malaria cases seen June 2023,Severe Malaria cases seen July 2023,Severe Malaria cases seen August 2023,Severe Malaria cases seen September 2023,Severe Malaria cases seen October 2023,Severe Malaria cases seen November 2023,Severe Malaria cases seen December 2023,Severe Malaria cases seen January 2024,Severe Malaria cases seen February 2024,Severe Malaria cases seen March 2024,Severe Malaria cases seen April 2024,Severe Malaria cases seen May 2024,Severe Malaria cases seen June 2024,Severe Malaria cases seen July 2024,Severe Malaria cases seen August 2024,Severe Malaria cases seen September 2024,Severe Malaria cases seen October 2024,Severe Malaria cases seen November 2024,Severe Malaria cases seen December 2024
Binji,,,47,5,7,109,16,13,28,,27,,59,3,17,299,31,30,88,96,26,31,87,27,31,44,55,8,58,11,8,,80,,,,50,,,36,,,,,,,,,,,,,,,23,50,,,41,22,18,,,,,27,,,,,,2,108,24,,,,,4,,118,68,53,72,,,,,12,,43,251,154,83,46,42,42,22,24,23,,14,30,56,39,76,83,57,25,12,12,28,25,16,4,28,86,41,54,46,95,48,55,40,38,33,65,130,115,110,204,94
Bodinga,,,,9,10,,,,3,56,36,12,34,27,3,39,37,34,68,,64,49,29,14,5,6,65,98,23,2,5,,5,8,,7,,3,,,,,117,10,26,3,32,102,89,53,19,7,47,12,16,41,22,27,29,65,19,13,2,96,31,33,44,150,136,150,67,20,75,34,59,53,40,18,56,21,8,289,146,212,14,,,31,,66,50,9,11,457,11,7,,5,41,478,82,11,151,18,65,6,20,4,5,,1,8,,2,18,7,,2,96,48,853,2,,121,,,427,31,67,32,40,29
Dange-Shuni,3,,,105,33,35,35,41,68,94,91,36,28,69,61,60,32,41,30,82,214,95,42,17,3,22,7,4,14,6,9,35,62,41,41,38,20,39,32,21,32,33,3,62,101,16,115,61,7,17,29,33,13,1,37,50,41,17,5,11,,3,2,2,3,2,44,28,40,65,213,21,7,24,14,12,5,,7,40,22,22,13,4,2,,,,1,3,99,29,15,52,27,7,6,5,1,,,49,9,7,23,77,15,11,24,19,,27,1,,,3,4,5,,,14,2,4,4,5,,13,,5,15,7,15
Gada,,,,30,84,,,,307,480,435,254,226,254,7,811,213,614,482,160,584,628,293,446,113,22,,4,26,125,580,21,699,131,171,138,91,1029,9,369,3,,332,12,88,111,,,,,,,,,,27,30,,,,,,,,6,,,36,148,7,56,,,2,,2,3,,,17,113,5,,129,297,,,,59,,,,61,101,193,218,21,5,64,422,26,,27,959,411,43,55,17,16,,,5,1,,1640,1777,98,1375,254,322,33,1367,616,206,6,,43,47,100,543,381,
Goronyo,,,,,,7,3,3,,,,1,,,,,,,,,,,,,20,,,,,,,5,,7,3,198,112,,,,45,122,224,220,82,38,139,139,196,68,120,116,106,133,256,121,131,178,18,58,12,163,48,13,22,36,31,85,64,56,46,127,196,29,36,33,31,10,29,47,38,30,31,89,30,21,11,13,37,17,14,8,16,10,4,43,15,35,47,67,18,45,27,24,14,6,11,16,,14,,23,27,426,109,35,11,14,5,14,72,16,28,18,,,31,,44,67,33,26
Gudu,,,,,,,,21,42,51,12,29,29,56,22,6,1,1,8,107,225,,36,,47,48,28,14,,,3,,,,8,3,,5,,,,,,,1,,,,9,4,,3,2,3,,5,8,,,,,1,3,9,,,7,,,,,,5,,,,,,,,,,,,,,,,,1,,,,33,17,10,9,,,,,,1,14,54,,,27,4,,1,,,,32,19,17,,10,,,,,,,,,,,24,20,22
Gwadabawa,,,,3,40,48,42,111,137,381,277,108,106,5,116,113,93,71,88,145,95,55,62,64,39,8,13,5,13,11,30,5,9,166,159,86,149,44,109,105,50,6,67,360,302,214,225,201,204,215,365,149,144,105,176,234,170,218,163,101,68,59,38,61,56,122,27,640,226,207,103,57,39,48,97,19,5,56,41,68,106,75,86,53,26,2,17,96,14,5,40,27,71,61,40,188,131,16,6,9,289,20,25,57,28,29,30,14,10,9,8,12,14,10,27,31,27,62,32,37,21,39,20,41,8,19,5,5,14,12,15,9
Illela,,,9,12,4,40,28,75,58,87,124,29,210,18,5,20,109,1226,27,513,342,60,193,214,181,250,344,98,82,173,90,512,279,92,102,997,15,18,91,20,302,54,45,8,166,23,49,17,33,19,18,26,100,19,2,178,79,341,143,8,47,17,18,35,21,14,32,175,207,213,586,30,58,69,22,8,112,,32,205,171,266,145,132,45,23,23,13,19,8,30,83,157,239,121,67,44,22,25,24,36,,54,87,178,,212,63,20,12,14,23,25,10,12,87,152,19,40,28,14,31,6,35,11,,2,159,,370,,124
Isa,,,,100,49,60,69,174,100,343,276,219,331,157,101,107,90,99,173,202,73,801,704,90,26,71,57,25,26,12,6,13,24,54,90,27,4,14,11,22,3,4,11,2,50,2,58,5,2,2,2,,2,5,30,43,3,,107,,5,,63,,26,6,91,,6,,,,21,,2,,22,28,,57,,,,,,,,,,,,3,125,,27,75,65,1638,132,41,61,47,,112,,46,36,51,37,102,,,,40,,93,173,137,97,120,281,72,,82,,60,304,447,,,,
Kebbe,,,,11,33,81,28,,153,29,,86,,,,,18,,,,,,,,,16,251,12,,12,,,,,,,,,,,76,,103,66,20,3,79,12,282,16,12,77,82,114,342,117,42,58,134,76,39,85,268,32,57,34,4,5,46,15,14,,23,2,,23,,297,36,99,115,44,,,18,8,38,2,122,6,74,60,18,4,6,32,3,3,1,,,,2,,18,19,40,,,2,3,22,61,10,6,,2,1,2,2,,,2,2,,2,3,5,3,,,1
Kware,,,,,,,,,,206,231,22,14,35,,11,12,31,37,53,91,192,20,30,18,19,79,17,7,9,3,,1,,,,3,,,,,,7,,14,10,,18,6,4,14,25,5,14,32,18,40,23,11,13,14,6,14,9,14,34,22,,18,35,42,38,31,,18,31,12,23,8,43,74,56,,67,71,39,48,12,21,15,9,31,,31,27,20,14,10,24,1,,,,10,27,31,,27,,24,28,34,36,,49,30,170,28,185,786,76,62,73,,219,25,697,,11,138,34,194
Rabah,,,,2,46,14,6,33,17,27,,75,10,37,,,,,26,19,55,6,43,108,47,10,,27,31,20,47,65,52,366,158,251,27,43,37,58,62,2,119,23,,36,57,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,28,23,18,6,14,26,7,,73,15,7,1,2,4,3,3,20,14,33,14,4,122,,21,5,12,,12,1,30,310,12,3,,,,9,,2,,,5,11,13,7,15,,,,,,,,,2,2,,5
Sabon Birni,,,,487,645,1280,2063,1666,843,519,400,363,83,608,101,,134,144,111,110,172,412,,,191,62,515,211,100,20,523,195,271,278,122,80,33,,43,32,3,200,152,218,337,159,202,340,164,91,103,104,119,137,214,349,345,454,403,214,131,148,160,204,206,102,307,217,319,,,345,206,41,166,7,137,121,379,494,185,230,212,220,225,364,204,319,100,91,115,254,188,365,148,357,124,118,39,64,55,86,134,351,138,197,83,204,62,17,35,38,42,47,79,67,43,98,111,381,98,142,102,44,75,144,95,937,67,71,91,72
