Year,GDP growth (annual %),"Industry (including construction), value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)",Domestic credit to private sector (% of GDP),Consumer price index (2010 = 100)
1981,-13.12788049,39.2450902,12.24040925,5.802075118,0.489348981
1982,-6.803388815,34.8092085,13.50269014,6.450601547,0.527017828
1983,-10.92408503,34.11844117,14.99073289,6.208622851,0.649350954
1984,-1.115623217,30.34592042,18.30836066,6.266045741,0.765068757
1985,5.913027459,33.466601,18.22763997,6.039750503,0.821954257
1986,0.060945274,32.83078352,18.02042516,7.574985288,0.868946627
1987,3.200125467,32.88690102,20.55210632,6.602985867,0.967053504
1988,7.334025488,32.61486597,23.37164885,6.066023538,1.494206213
1989,1.919381296,35.39180717,21.27559734,5.090333177,2.248282603
1990,11.77688593,35.41032677,21.55626328,4.957522443,2.413855134
1991,0.358352602,36.96556598,20.88528311,5.241096469,2.727824622
1992,4.631192946,37.70960823,20.32115887,8.234513857,3.944130052
1993,-2.035118774,33.17434249,23.49113048,7.007718165,6.198801969
1994,-1.814924485,31.31838955,25.17384878,8.037288168,9.734084664
1995,-0.072664764,36.54048982,25.48650645,6.508711496,16.82395412
1996,4.195924047,37.44547872,26.1991592,6.174443942,21.74803826
1997,2.937099419,35.2488501,27.41665114,7.030590147,23.60311856
1998,2.581254102,28.70243973,27.90837138,7.619452394,25.96257554
1999,0.584126893,29.36369327,26.02848571,8.168807855,27.68087574
2000,5.015934759,33.82300329,21.3572413,8.248988698,29.60007172
2001,5.917684649,28.27626627,24.47535466,9.880807397,35.18668454
2002,15.32915574,23.04083719,36.96508267,8.084342998,39.71752584
2003,7.347194968,26.0024149,33.82706055,8.909484726,45.29060312
2004,9.250558229,28.39004006,27.2304536,8.461664055,52.0833031
2005,6.438516525,28.20158345,26.08928283,8.435095263,61.38720049
2006,6.059428032,25.7516356,24.73499126,8.120360453,66.43643372
2007,6.591130361,24.34471784,24.66257721,13.79701693,70.01603406
2008,6.764472778,24.7142489,25.27975078,18.6330147,78.1246436
2009,8.036925101,21.23676148,26.74885451,19.62560166,87.91977683
2010,8.005655916,25.31745224,23.89370409,13.49074284,100
2011,5.307924203,28.27779989,22.23471099,11.04362961,110.8261372
2012,4.230061175,27.0730175,21.85995862,10.60470377,124.3737916
2013,6.671335393,25.74232124,20.75862283,11.53321494,134.93999
2014,6.309718655,24.64360859,19.99025477,13.29700538,145.7991654
2015,2.652693295,20.1607829,20.63189348,13.07868448,158.9348464
2016,-1.616868949,18.17313173,20.98310971,14.60803886,183.8825515
2017,0.805886619,22.31511719,20.84657143,12.85202981,214.2273396
2018,1.922757342,25.73330658,21.20377372,10.2465813,240.1383645
2019,2.208429277,27.38253705,21.90629593,11.15755665,267.5055467
2020,-1.794253083,28.22050552,24.14330587,12.1318506,302.9393941
2021,3.647186541,31.40753404,23.35705876,13.44944916,354.2962423
2022,3.251681408,30.77556872,23.69187184,12.95746731,421.0711203
2023,2.860214991,32.5844117,22.72493804,,524.9053647
2024,3.426439471,29.64823591,20.35324201,,699.3949133
